"","msa","house_index","hs_proportion","bachelor_proportion","weekly_wage","annual_wage","pop","percent_white","percent_black","percent_asian","percent_amerindian","percent_hpi","percent_other"
"138","Great Falls, MT",244.8075,0.92,0.27,854,44391,84414,0.832385623,0.014168266,0.04743289,0.01127775,0.001457104,0.013493022
"139","Greeley, CO",303.8725,0.87,0.28,1104,57397,328981,0.704879613,0.013797149,0.012991632,0.01780346,0.001109487,0.111766333
"140","Green Bay, WI",196.525,0.92,0.28,1043,54230,328268,0.817959716,0.02606407,0.024918664,0.026511874,0.000389925,0.038361948
"141","Greensboro-High Point, NC",197.92375,0.88,0.3,967,50275,776566,0.567010402,0.267053927,0.006147578,0.040685531,0.000400481,0.055043615
"142","Greenville-Anderson, SC",264.355,0.87,0.31,955,49649,928195,0.712588411,0.154248838,0.004008856,0.019856819,0.000590393,0.044609161
"143","Greenville, NC",171.2325,0.89,0.32,862,44807,170243,0.52154861,0.354869216,0.004176383,0.018080039,0.000622639,0.045693509
"144","Gulfport-Biloxi, MS",211.9575,0.89,0.23,848,44086,416259,0.659654206,0.213775558,0.005203491,0.023403698,0.000980159,0.027908105
"145","Hagerstown-Martinsburg, MD-WV",207.2475,0.89,0.22,883,45928,293844,0.788619131,0.092453819,0.003103688,0.015954044,0.000479846,0.025329767
"146","Hammond, LA",225.5375,0.82,0.22,721,37501,133157,0.61082782,0.300690163,0.004002794,0.007532462,0.000180238,0.022424657
"147","Hanford-Corcoran, CA",226.0825,0.74,0.15,863,44875,152486,0.401518828,0.059172645,0.024074341,0.03884291,0.002701887,0.314789554
"148","Harrisburg-Carlisle, PA",196.29,0.92,0.33,1112,57841,591712,0.742040047,0.105204897,0.002301795,0.052954816,0.000403913,0.033786707
"149","Harrisonburg, VA",220.9225,0.85,0.3,899,46748,135571,0.785160543,0.045024378,0.004337211,0.02245318,0.000361434,0.069151957
"150","Hartford-East Hartford-Middletown, CT",176.88625,0.91,0.4,1381,71807,1213531,0.668930584,0.116362087,0.003138774,0.055454702,0.000360106,0.072574166
"151","Hattiesburg, MS",209.19,0.88,0.27,779,40524,172231,0.62772091,0.297362263,0.002670832,0.011670373,0.000499329,0.021064733
"152","Hickory-Lenoir-Morganton, NC",206.1775,0.84,0.19,841,43731,365276,0.79052552,0.064430732,0.007785893,0.030461897,0.000506466,0.046121289
"153","Hilton Head Island-Bluffton, SC",259.095,0.93,0.39,813,42274,215908,0.66961391,0.174231617,0.004089705,0.012218167,0.000745688,0.063638216
"154","Hinesville, GA",176.5175,0.9,0.18,782,40685,81424,0.431690902,0.395706426,0.005612596,0.019171252,0.006988112,0.043893692
"155","Homosassa Springs, FL",245.8575,0.89,0.19,773,40188,153843,0.874891935,0.026793549,0.003692076,0.015918826,0.000351007,0.015086809
"156","Hot Springs, AR",214.595,0.89,0.23,759,39480,100180,0.786953484,0.081133959,0.00800559,0.009702535,0.000708724,0.033649431
"157","Houma-Thibodaux, LA",250.22,0.8,0.16,1039,54012,207137,0.683817956,0.173281451,0.041634281,0.010114079,0.000342768,0.03078156
"158","Houston-The Woodlands-Sugar Land, TX",297.735,0.84,0.34,1387,72104,7122240,0.414246361,0.173812452,0.010309116,0.083521196,0.000809998,0.159930022
"159","Huntington-Ashland, WV-KY-OH",187.2075,0.88,0.21,920,47858,359862,0.921364301,0.023597935,0.002070238,0.007783539,0.000166731,0.005479878
"160","Huntsville, AL",202.305,0.9,0.4,1217,63301,491723,0.649906553,0.214293413,0.00749609,0.024731404,0.001132752,0.029077346
"161","Idaho Falls, ID",272.6525,0.92,0.3,954,49604,157429,0.8460957,0.004535378,0.00942012,0.009845708,0.001213245,0.061329234
"162","Indianapolis-Carmel-Anderson, IN",219.76,0.9,0.36,1115,58004,2111040,0.696352982,0.150253903,0.003745547,0.03868425,0.000429172,0.044964094
"163","Iowa City, IA",196.34,0.95,0.5,874,45472,175419,0.783632332,0.0743078,0.00223465,0.049681049,0.000262229,0.028275158
"164","Ithaca, NY",238.8,0.94,0.53,1153,59945,105740,0.743871761,0.04347456,0.003338377,0.099602799,0.000444486,0.027000189
"165","Jackson, MI",201.47,0.92,0.23,1030,53586,160366,0.830955439,0.078769814,0.004090643,0.009309953,0.000187072,0.011760598
"166","Jackson, MS",180.5625,0.88,0.31,882,45847,591978,0.461201261,0.477538017,0.002065955,0.013500502,0.000332783,0.015350233
"167","Jackson, TN",170.55,0.87,0.22,887,46113,180504,0.650306918,0.26785556,0.002902983,0.008581527,0.000210522,0.025146257
"168","Jacksonville, FL",303.1541667,0.91,0.32,1069,55567,1605848,0.616315492,0.212477146,0.003613667,0.041847049,0.001058008,0.036486641
"169","Jacksonville, NC",224.6725,0.92,0.24,671,34915,204576,0.67002972,0.136995542,0.007136712,0.023116104,0.004032731,0.049839668
"170","Janesville-Beloit, WI",204.875,0.92,0.24,982,51069,163687,0.813180033,0.050773733,0.005363896,0.012578885,0.000439864,0.045556458
"171","Jefferson City, MO",195.995,0.9,0.29,890,46275,150309,0.849137444,0.069210759,0.003432928,0.008336161,0.000838273,0.01181566
